COMPONENT,LOINC_NUM
Semen analysis panel,13361-1
Hepatitis 1996 panel,24313-9
TORCH 1996 panel,24314-7
Cytomegalovirus Ab.IgG & IgM panel,24315-4
Epstein Barr virus capsid Ab.IgG & IgM panel,24316-2
Hemogram & platelets WO differential panel,24317-0
Manual Differential panel,24318-8
Cardiolipin Ab.IgG & IgM panel,24319-6
Basic metabolic 1998 panel,24320-4
Basic metabolic 2000 panel,24321-2
Comprehensive metabolic 1998 panel,24322-0
Comprehensive metabolic 2000 panel,24323-8
Hepatic function 1996 panel,24324-6
Hepatic function 2000 panel,24325-3
Electrolytes 1998 panel,24326-1
Electrolytes 3 panel,24327-9
Electrolytes 3 panel,24328-7
Electrolytes 3 panel,24329-5
Lipid 1996 panel,24331-1
Alkaline phosphatase isoenz panel,24332-9
Amylase isoenz 3 panel,24333-7
Amylase isoenz 7 panel,24334-5
Creatine kinase panel,24335-2
Gas panel,24336-0
Gas panel,24337-8
Gas panel,24338-6
Gas panel,24339-4
Gas panel,24340-2
Gas & CO panel,24341-0
Gas & CO panel,24342-8
Gas & CO panel,24343-6
Gas & CO panel,24344-4
Parathyrin.intact & Calcium panel,24346-9
Parathyrin.mid molecule & Calcium panel,24347-7
Free T4 & TSH panel,24348-5
Drugs of abuse 5 panel,24349-3
Volatiles panel,24350-1
Protein fractions panel,24351-9
Protein fractions panel,24352-7
Glucose tolerance 2H gestational panel,24353-5
Urinalysis complete panel,24356-8
Urinalysis macro (dipstick) panel,24357-6
Hemogram WO Platelets & W Manual Differential panel,24359-2
Hemoglobin & Hematocrit panel,24360-0
"Hemogram, platelets & Differential panel",24361-8
Renal function 2000 panel,24362-6
Acute hepatitis 2000 panel,24363-4
Obstetric 1996 panel,24364-2
Urinalysis microscopic panel,24365-9
Bacterial susceptibility panel,29576-6
Bacterial susceptibility panel,49589-5
Bacterial susceptibility panel,50546-1
Bacterial susceptibility panel,50545-3
Fungal susceptibility panel,29577-4
Viral susceptibility panel,29578-2
Mycobacterial susceptibility panel,29579-0
Differential panel,29580-8
Differential panel,29581-6
Differential panel,29582-4
Differential panel,29583-2
Differential panel,29584-0
Immunoelectrophoresis panel,29585-7
Immunoelectrophoresis panel,29586-5
Toxicology panel,29587-3
Heavy metals panel,29588-1
Heavy metals panel,29589-9
"Hemogram, Platelets, Differential & Reticulocyte panel",34527-2
PT panel,34528-0
PT & aPTT panel,34529-8
ABO & Rh group panel,34530-6
Blood type & Crossmatch panel,34531-4
Blood type & Indirect antibody screen panel,34532-2
12 lead EKG panel,34534-8
Microalbumin/Creatinine ratio panel,34535-5
Fluid intake & output panel,34536-3
Fluid intake & output panel,34537-1
Protein fractions panel,34539-7
Phenytoin free & total panel,34540-5
ACTH stimulation test using IM corticosteroids,34541-3
ACTH stimulation test using IV corticosteroids,34542-1
Bilirubin direct & total panel,34543-9
Complement C3 & C4 panel,34544-7
carBAMazepine free & total panel,34545-4
Protein & Glucose panel,34546-2
Complement profile panel,34547-0
Sodium & Potassium panel,34548-8
Follitropin & Lutropin panel,34549-6
Immunoglobulin panel,34550-4
Catecholamines 3 panel,34551-2
Cardiac 2D echo panel,34552-0
Orthostatic blood pressure panel,34553-8
Electrolytes 1998 & Venous pH panel,34554-6
Creatinine renal clearance panel,34555-3
Cell count panel,34556-1
Cell count & Differential panel,34557-9
Cell count panel,34558-7
Cell count panel,34559-5
Cell count & Differential panel,34560-3
Cell count panel,34561-1
Cell count & Differential panel,34562-9
Cell count panel,34563-7
Cell count & Differential panel,34564-5
"Vital signs, weight & height panel",34565-2
Cell count & Differential panel,34567-8
TORCH panel,34665-0
Heavy metals panel,34667-6
Immunoelectrophoresis panel,34672-6
Babesia microti Ab.IgG & IgM panel,34940-7
Bordetella pertussis Ab.IgG & IgM panel,34941-5
Borrelia burgdorferi Ab.IgG & IgM panel,34942-3
Borrelia burgdorferi Ab.IgG & IgM panel,34943-1
Cytomegalovirus Ab.IgG & IgM panel,34944-9
Herpes virus 6 Ab.IgG & IgM panel,34945-6
Herpes virus 6 Ab.IgG & IgM panel,34946-4
Herpes virus 7 Ab.IgG & IgM panel,34947-2
Measles virus Ab.IgG & IgM panel,34948-0
Measles virus Ab.IgG & IgM panel,34949-8
Parvovirus B19 Ab.IgG & IgM panel,34950-6
Phosphatidylserine Ab.IgG & IgM panel,34951-4
Rubella virus Ab.IgG & IgM panel,34952-2
Rubella virus Ab.IgG & IgM panel,34953-0
Treponema pallidum Ab.IgG & IgM panel,34954-8
Western equine encephalitis virus Ab.IgG & IgM panel,34955-5
Smear morphology panel,34994-4
Amino acids panel,35083-5
Fetal lung maturity,35084-3
Second trimester triple maternal screen panel,35086-8
Amino acids panel,35087-6
Glasgow coma scale,35088-4
History and physical panel,35089-2
Patient history,35090-0
Urology testicular ultrasound,35092-6
Urology urinary tract ultrasound,35093-4
Blood pressure panel,35094-2
Body temperature panel,35095-9
OB ultrasound panel,35096-7
Pesticide & Insecticide panel,35499-3
Pesticide & Insecticide panel,35500-8
Pesticide & Insecticide panel,35501-6
Mitochondrial myopathy enzyme panel,35502-4
Amino acids panel,35507-3
Amino acids panel,35508-1
Amino acids panel,35509-9
Cholinesterase panel,35558-6
Rickettsia rickettsii Ab.IgG & IgM panel,35563-6
Pigeon antibody panel,35575-0
Hypersensitivity pneumonitis panel,35577-6
Lymphocytic choriomeningitis virus Ab.IgG & IgM panel,35650-1
Lymphocytic choriomeningitis virus Ab.IgG & IgM panel,35666-7
Varicella zoster virus Ab.IgG & IgM panel,35679-0
Hepatitis E virus Ab panel,35680-8
Tissue transglutaminase Ab panel,35681-6
Trypanosoma cruzi Ab.IgG & IgM panel,35682-4
Burkholderia pseudomallei Ab.IgG & IgM panel,35683-2
Colorado tick fever virus Ab.IgG & IgM panel,35684-0
Brucella sp Ab.IgG & IgM panel,35739-2
Rickettsia sp Ab.IgG & IgM panel,35740-0
Eastern equine encephalitis virus Ab.IgG & IgM panel,35743-4
Escherichia coli O157:H7 Ab.IgG & IgM panel,35752-5
Organic acids panel,35866-3
Braden scale skin assessment panel,38228-3
Study report,38269-7
Herpes virus 6 DNA panel,38351-3
Oral assessment panel,39137-5
Bartonella henselae Ab.IgG & IgM panel,41478-9
Chlamydia sp Ab.IgG & IgM panel,41482-1
Coxsackievirus A Ab panel,41484-7
Coxsackievirus B Ab panel,41485-4
Coxsackievirus B Ab.Neut panel,41486-2
Febrile agglutinin Ab panel,41493-8
Parainfluenza virus Ag panel,41505-9
Polio virus Ab.Neut panel,41506-7
Burkholderia pseudomallei Ab.IgG & IgM panel,41839-2
Coxiella burnetii phase 1 & 2 Ab.IgG panel,41840-0
Coxiella burnetii phase 1 & 2 Ab.IgM panel,41841-8
Herpes virus 7 Ab.IgG & IgM panel,41842-6
Lymphocytic choriomeningitis virus Ab.IgG & IgM panel,41843-4
Bordetella pertussis & Bordetella parapertussis DNA panel,41875-6
Rickettsia typhi & Rickettsia spotted fever group Ab.IgG & IgM panel,41876-4
Bordetella pertussis Ab.IgA & IgG & IgM panel,41877-2
Dengue virus Ab.IgG & IgM panel,41878-0
Hepatitis A & B & C 7a panel,42191-7
Sulfatide Ab.IgG & Ab.IgM panel,42218-8
Rickettsia (Proteus) Ab panel,42342-6
Streptococcus pneumoniae 14 serotypes Ab.IgG panel B,42359-0
Streptococcus pneumoniae 14 serotypes Ab.IgG panel A,42360-8
Streptococcus pneumoniae 12 serotypes Ab.IgG panel,42361-6
Streptococcus pneumoniae 7 serotypes Ab.IgG panel B,42362-4
Streptococcus pneumoniae 7 serotypes Ab.IgG panel A,42363-2
Streptococcus pneumoniae 6 serotypes Ab.IgG panel,42364-0
Streptococcus pneumoniae 4 serotypes Ab.IgG panel,42365-7
Streptococcus pneumoniae 23 serotypes Ab.IgG panel,42366-5
Event battery.MERS-TH,42546-2
Inflammatory bowel disease Ab panel,42760-9
Human papilloma virus high & Low risk DNA panel,42770-8
Lactate dehydrogenase panel,42929-0
Yersinia sp Ab panel,43098-3
Vanillylmandelate & Creatinine panel,43099-1
Sjogrens syndrome-A & B extractable nuclear Ab panel,43100-7
Phosphatidylserine Ab.IgA & IgG & IgM panel,43101-5
Acetaldehyde & Paraldehyde panel,43105-6
Amitriptyline & Nortriptyline panel,43106-4
Mycoplasma sp & Ureaplasma sp panel,43107-2
Metanephrine & Normetanephrine panel,43108-0
Leishmania sp Ab.IgG & IgM panel,43109-8
Immunoglobulin light chains panel,43110-6
Herpes simplex virus Ab panel,43112-2
Hemoglobin panel,43113-0
Porphyrin fractions panel,43116-3
Fluoxetine & Norfluoxetine panel,43117-1
Fat panel,43118-9
Extractable nuclear Ab panel,43119-7
Echovirus Ab panel,43120-5
Doxepin & Nordoxepin panel,43122-1
Imipramine & Desipramine panel,43123-9
Cystine panel,43124-7
Nicotine & Metabolites panel,43125-4
Cortisol.free panel,43126-2
clomiPRAMINE & Norclomipramine panel,43127-0
Chloride panel,43128-8
Brucella abortus Ab.IgG & IgM panel,43129-6
Bile acid fractions panel,43130-4
Bacterial Ag panel,43131-2
Allopurinol & Oxipurinol panel,43133-8
Calcidiol & Calciferol & Calcitriol panel,43134-6
17-Ketosteroids & 17-Ketogenic steroids panel,43135-3
Synthetic glucocorticoid panel,43141-1
Height measurement device panel,43142-9
Weighing device panel,43143-7
Pedometer device panel,43144-5
Peak flow meter device panel,43145-2
Oxygen saturation device panel,43146-0
Metabolism measurement device panel,43147-8
Insulin delivery device panel,43148-6
Heart rate device panel,43149-4
HbA1c measurement device panel,43150-2
Glucose meter device panel,43151-0
Blood pressure device panel,43152-8
Blood coagulation device panel,43153-6
Desmoglein 1 & Desmoglein 3 Ab panel,43309-4
Acylcarnitine panel,43433-2
Bacterial Ag panel,43434-0
Bartonella henselae & Bartonella quintana Ab.IgM panel,43435-7
Bartonella henselae & Bartonella quintana Ab.IgG panel,43436-5
Bartonella henselae & Bartonella quintana Ab.IgG & IgM panel,43437-3
Bartonella henselae & Bartonella quintana Ab.IgG & IgM panel,43438-1
Bartonella henselae & Bartonella quintana Ab.IgG panel,43439-9
Bartonella henselae & Bartonella quintana Ab.IgM panel,43440-7
Bacterial Ag panel,43443-1
Fatty acid panel.comprehensive C8-C26,43674-1
Fatty acid panel.mitochondrial C8-C18,43675-8
Fatty acid panel.essential C12-C22,43676-6
Fatty acid panel.very long chain C22-C26,43677-4
Immunodeficiency panel,45268-0
Chronic leukemia panel,45269-8
Acute leukemia panel,45270-6
PHQ-9 quick depression assessment panel,44249-1
Motility & count panel,4463-6
Amylase & Creatinine clearance panel,44789-6
Menorrhagia coagulation panel,44791-2
Immunoglobulin light chains panel,44792-0
Immunoglobulin light chains panel,44793-8
Homovanillate panel,44906-6
5-Hydroxyindoleacetate panel,44907-4
HLA typing for celiac disease panel,45023-9
HLA typing for narcolepsy panel,45024-7
HLA-A2 panel,45027-0
Cardiovascular assessment panel,45033-8
Cardiolipin Ab.IgA & IgG & IgM panel,45057-7
cycloSPORINE.monoclonal & polyclonal panel,45058-5
Ehrlichia chaffeensis Ab.IgG & IgM panel,45059-3
Protein & Glucose panel,45060-1
Spermatozoa Ab.IgA & IgG & IgM panel,45061-9
Varicella zoster virus Ab.IgG & IgM panel,45063-5
Creatinine & Glomerular filtration rate.predicted panel,45066-8
